,channel,text,datetime,label
52,good kpi,"#фєа юдин олег николаевич, много кто наговаривает на преподавателя, но как по мне - он полностью прав. если ничего не знаешь - уходи учи, с второй, или третий попытки сдашь. размеренный,  спокойный.  на практике никогда не было проблем. ласково называет ""кучерявым""😄 всегда подражался тем что ему за года жизни удалось с простого работника завода ""арсенал"", стать зав.декана факса, а это говорит о многом",2019-06-05 10:39:52+03:00,1
53,bad kpi,"пост в плохой кпи
#феа кафедра електричних мереж иа систем. професор буткевич олександр федотович це рубіж на нашій кафедрі.  кажуть якщо здав його на другому курсі то рахуй-бакалавр. веде себе надзвичайно вимогливо, простіше пентагон взламати чим здати його з першого разу.  десятки відрахованих за семестр,  сотні на загальному його рахунку.  якщо розказуєш його предмет по об'яснені з практики,  яку веде паненко,  то його це не влаштовує - на допку,  а там комісія і все.  зам. декана з ним неодноразово говорив - все на марно",2019-03-21 20:23:19+02:00,-1
54,good kpi,"сорри згуря, ты не зеля",2019-06-05 12:23:41+03:00,0
55,bad kpi,"о будкевиче на #феа 
объяснять предмет не умеет, по этому хоть учи, хоть не учи лучше дома подрочи. выгнал с моей группы  2 или 3 человечка. на допку к нему очередь. 
но это ещё не самое прикольное на кафедре ес, есть ещё чикин, ведёт предмет «патентознавство», который (с его слов) «вам оно не надо, все равно захотите патент выдать-пойдёте в контору и там все сделают», но на пары ты ходить обязан. а если вдруг не ходишь, три пропуска и допка. конспект пиши слово в слово и что бы лекций пропущенных не было. 

выпускник магистратуры фэа.",2019-03-21 21:15:54+02:00,-1
56,good kpi,"в кпішних інтернетах зазвичай пишуть про те, які викладачі погані, несправедливі, і часто це дійсно так і є. проте я хочу розповісти вам свою історію, про хороше у нашій alma mater. нарешті закінчується семестр, разом з цим добігло кінця у моєму студентському житті фп. я займався на секції спеціальної медичної групи, і можу сказати, що спочатку подумав лише : ""які тут жорсткі викладачі"". проте з часом я зрозумів, що це було краще фіз виховання у моєму житті. адже воно мало сенс і користь. за такі результати я хочу більше всього подякувати брайко наталії гнатівні. всі 4 семестри я займався саме у неї і можу сказати - це було чудово. так вона весь час серйозна та вимоглива, але при цьому справедлива. вона дуже добра і відноситься з розумінням до тих студентів, хто дійсно займається, прислухається до її порад і дотримується правил поведінки при занятті в залі. тож якщо ти зараз на першому курсі, чи абітурієнт, котрий цікавиться життям студенства, і будеш в спец мед групі чи на лфк, то рекомендую потрапити на занаття саме до наталіі гнатівни. інші викладачі там теж хороші, проте заняття з нею точно не пройдуть дарма, і принесуть користь у ваше життя та здоров'я!",2019-06-05 16:43:59+03:00,1
57,bad kpi,"5 курс.
чикин хоть так и говорил но я впервые его увидел на зачётной кр и в последний раз на допке где сдал на с. всего то нужно прочитать конспект и прийти на кр.",2019-03-22 07:34:06+02:00,0
58,good kpi,4 корпус,2019-06-06 09:58:53+03:00,0
59,bad kpi,"#фэа 3 курс
стосовно буткевича
на 1 і 2 курсі важко було працювати з олександром федотовичем, так як ми всі - малята, а він - мегамозок. це дуже розумний викладач, науковець, із рядом заслуг на найвищому рівні в україні. так, пояснює він дуже складно, важко було з першого разу ""в'їхати"" в те, що він намагався до нас донести.
але за останні 10 років він, наскільки я знаю, не вигнав жодного студента. хоча раніше гнав всіх, хто не прошарив мат.задачі.
по-доброму, він мав би вигнати мене і ще десь більшу половину потоку, так як ми реально по суті не могли вирішити задачі по курсу, зате всі ми на практиці чудово робили задачки ""по порядку, 1 дія, 2 дія"" і таке інше.
в кінці було багато студентів на допці, але студенти, які реально шарили, здали зразу, і на досить високий бал",2019-03-22 09:42:31+02:00,1
60,good kpi,"согласна с постом про брайко. так уж получилось, что за все время в спецгруппе я успела побывать на парах практически у всех преподавателей, поэтому есть с чем сравнить. 
то, что из всех она самая дисциплинированная и требовательная – правда, поэтому лучше не опаздывать и относится к занятиям серьезно, все-таки ваше здоровье. но при этом и справедливая, поэтому, если видит, что студент действительно старается, то будет  относиться с пониманием. разумеется, под словосочетанием «действительно стараться» я не имею в виду, что каждый должен как герой боевика с простреленными ногами спасти весь мир. все в меру своих сил и возможностей. но если кто-то откровенно халявит, она это заметит и не одобрит. в конце концов, преподавателям в секции спецгруппы и лфк  здоровье студентов не безразлично.
оглядываясь на мое отношение к фп, которое, мягко говоря, не очень (стоит сказать «спасибо» за обязаловку), для меня стало открытием, что занятия фп могут нравиться, поэтому по возможности, я старалась ходить именно к наталье игнатовне. брайко в меру строгая, в меру добрая, может пошутить на паре, но опять повторюсь, что лучше не опаздывать. и с одной стороны я рада, что фп для меня закончилось, но с другой было приятно наблюдать, как улучшаются результаты нормативов. 
в целом,  структура занятий зависит от преподавателей: у кого-то будет больше времени на самостоятельную работу и можно поиграть в бадминтон или настольный теннис или что-то еще, у кого-то занятия до конца проходят под личным командованием. поэтому вы окажетесь в спецгруппе и при этом  хотите улучшить результаты своих нормативов, или с пользой, не просто для галочки провести время на фп, что бы старательная работа не осталась незамеченной – советую идти к брайко.",2019-06-06 15:59:06+03:00,1
61,bad kpi,с библиотеки,2019-03-22 09:43:59+02:00,0
62,good kpi,"до посту про брайко.
оскільки викладач з точки зору дисципліни гарно виглядає, на 2 курс збираюсь ходити в ті дні, коли наталія гнатівна буде вести пари.",2019-06-06 16:29:22+03:00,0
63,bad kpi,"в 7 корпусе, на боковом входе возле kpitv работают турникеты.",2019-03-22 09:49:24+02:00,0
64,good kpi,у первого корпуса ремонтируют лавочки,2019-06-10 14:05:12+03:00,1
65,bad kpi,"побувати на комісії у буткевича і вижити- це як бути присмерті і воскреснути.
він шарить свій предмет, але студентам важко зрозуміти матеріал, який він викладає.
тут або викладач не вміє пояснювати, або наше покоління стало тупіше і не вміє думати. або і те, і те.
p.s.  минулого і цього року він відчислив по 2-4 людини за сесію",2019-03-22 10:05:40+02:00,0
66,good kpi,"в дополнение всем предыдущим постам про кушлабу
оставляет впечатление добрейшего из всех людей, любит студентов не за зубрёжку грамматики, а за личное мнение и возможность его хорошо донести. балами никого не обделил, все довольны
дай бог здоровья кушлабе, рили",2019-06-11 17:42:00+03:00,1
67,bad kpi,чого турнікети в бібліотеці це погана ідея?нехай далі крадуть речі в студентів сторонні особи.,2019-03-22 10:10:26+02:00,0
68,good kpi,"#фмф
бойко вячеслав николаевич. просто восхитительный преподаватель. очень увлечённый своим делом человек, прекрасно ориентирующийся в куче вещей. тот редкий «случай», который разжуёт материал, положит в рот и, как заботливая мама-птица, проследит, чтоб все съели) его действительно заботят студенты. к каждому ищет свой подход, ту же домашку, проверенную, исправленную и с пояснениями, почтив всегда скидывает в тот же день, в который её получил, даже если она была прислана поздним вечером. кроме того, рассказывает о многих интересных вещах за пределами своего предмета и всегда может подсказать какую-нибудь крутую тему для самостоятельного изучения. 
в общем и целом, шикарный препод и человек, который вызывает опасное желание учиться, и перед которым стыдно за каждую халтуру)",2019-06-11 21:26:44+03:00,1
69,bad kpi,"потому что если для учебных корпусов это просто плохая идея, то для библиотеки и инициатив в ней это фактически смерть. все мероприятия, литклубы, вечера поэзии, кружки, настолки и все хорошие вещи, которые в ней появились, будут уничтожены. снова останется бетонная коробка, куда люди будут приходить один раз за учебу, чтобы подписать обходной лист.",2019-03-22 10:13:00+02:00,-1
70,good kpi,туалеты в библио как пример для подражания всем кпишным уборным,2019-06-11 21:55:58+03:00,1
71,bad kpi,"я правильно понимаю, скоро в библиотеку смогут попасть только студенты кпи? в том числе в белку, которая, вроде как, должна быть в свободном доступе?",2019-03-22 10:15:36+02:00,0
72,good kpi,"#іат
(факс)

мариношенко олександр петрович. 
один із найкращих викладачів, яких я знаю. прекрасний фахівець своєї галузі, на його рахунку велика кількість науково-методичних праць та статей, має власні патенти.  жодної його лекції із теоретичної мехніки не пропустив/проспав, оскільки сам матеріал, який він дає і  розжовує  до найменших дрібниць - цікавий, а головне все доступною мою. 
скільки разів підходив до нього, завжд доносив і роз‘яснював незрозумілі моменти. і взагалі чудова людина, завжди лояльно ставиться до студентів, вміє гарно пожартувати, постійно на одній хвилі із студентами.
p.s
якщо лінь писати конспект, який тобі допоможе якісно  підготуватися до іспиту, то це не викладач поганий.",2019-06-12 03:58:29+03:00,1
73,bad kpi,"в библиотеке, между прочим, кроме белки находится еще и центр японской культуры, доступ к которому уж точно не должен быть ограничен студентами.",2019-03-22 10:34:43+02:00,0
74,good kpi,"#псф
хочу написать про преподавателя математики сулиму ольгу викторовну. хоть она и очень своеобразно себя ведет, не пускает на пары на минутное опоздание, иногда немного жестит, но это реально заставляет тебя учить и любить высшую математику. при чем, сама по себе она очень добрый человек, всегда поймет студента и с ней всегда можно договориться. для того, чтобы готовиться к экзамену достаточно просто учить конспект, т.к. на лекциях она выдает абсолютно весь нужный материал. доп литература не особо нужна, а лекционные тетради можно продавать как полоноценные учебники. преподаватель вызывает огромную любовь и уважение. лучше преподавателя математики, чем она не видел.",2019-06-12 06:31:27+03:00,1
75,bad kpi,"к теме про чикина, более высокомерного преподавателя за 5 лет учебы вспомнить сложно. читал на #фэл “патентознавство”. 
начнем с его необходимых требований: полный конспект. 
продолжим необязательными: правило “автомата”, это 100% посещение всех пар, тогда получаешь а, 1 пропуск - в, 2 пропуска - с, 3 пропуска - е (насчет оценки за 2 или 3 пропуска не помню точно, но это был все еще автомат), больше пропусков - идешь на экзамен. все жестко, неэффективно, справедливо? ну не знаю, не знаю, имхо конечно, но репрессивный метод такой себе метод преподавания.
ну а теперь, под каким он соусом все это подает: 
1) “вы все гавно”, полная пренебрежительность к студенту, оскорбления  студентов и прочее дерьмо человека которому дали крупицу власти. ради справедливости, студенты пару раз давали ответочки и сбивали с него гонор.
2) преподаватель шутник, правда почти все его шутки на грани фола: пошлятина, просто тупые шутки, шутки которые некоторые люди могут посчитать оскорблением в свой адрес.
3) на паре вы пишите конспект, и только. телефоны/ноуты/планшеты/прочее запрещены, увидит, что вы пользуетесь, как гриться: “минус автомат”, продолжите “злостно нарушать” общественный порядок, вас выгонят с лекции с засчитыванием прогула. малейшее подозрение, что вы не  слушаете лекцию и в вашу сторону будет отпущена шутка-прибаутка или оскорбление.
4) касательно преподавания, он вроде рассказывает свой предмет, и впечатление того, что он понимает о чем рассказывает есть, но, когда он на первой паре заявляет, что предмет, скорее всего пройдет мимо вас и вы воспользуетесь знающими патентные дела мастерами, вкупе с репрессивным подходом преподавания, это сводит желание учиться в 0.
в сухом остатке, человек знает свой предмет, но как человек он говно.",2019-03-22 10:57:35+02:00,-1
76,good kpi,"спасибо радио за сегодняшнюю песню из кадетов, как раз во время консультации по екзамену 😂💜",2019-06-13 13:57:24+03:00,1
77,bad kpi,"бывшая студентка кпи. отчислили на прошлой летней сессии.
до понедельника нужно было получить скан аттестата, который все еще хранился в кпи.
в деканате мне подсунули обходной, и сказали, что до тех пор пока его не пройду мне ничего не выдадут. в отделе кадров(где хранятся документы) нахамили, сказали тоже самое и отправили к начальнику отдела кадров. начальник отдела кадрой очень мило мне объяснила, что так не делается и вообще когда увольняешься, то везде нужно проходить обходной(с каких пор увольнение и отчисление - это одно и то же?). 
на мои фразы что это нарушает закон украины и что я готова при них сделать скан начала рассказывать мне, что я непорядочный человек и что вообще ""иди отсюда, я с тобой разговаривать не намеренна"". и только после звонка в полицию, она резко поменяла позицию и сказала отдать мне документы. (полиция не успела приехать, хватило факта звонка.)
если ты захочешь забрать свои документы из кпи после выпуска или отчисления, то ты не сможешь этого сделать. тебя начнут шантажировать ими и требовать пройти обходной. и плевать если у тебя возможность сейчас это сделать.  и плевать. что это нарушение твоих прав и ук украины. понятно, что отдел кадров кпи так перестраховывается, чтобы ты все досдал и заплатил. но это должно делаться законно.",2019-03-22 11:36:01+02:00,-1
78,good kpi,в туалете первого корпуса установили бойлер,2019-06-14 10:44:05+03:00,1
79,bad kpi,"додам про чікіна. окрім вище сказаного він не приймає довідки про хворобу і взагалі будь-які причини пропуску для нього не є аргументом. мені на все життя запам'яталася його фраза ""якщо ви захворіли, то не хворійте"". тобто йому абсолютно всерівно що ми живі люди. також сумує пропуски за лекції і практики, тобто, я пропустила одну лекцію і одну практику (хоча всі завдання викладачки з практики виконала і набирала гарну кількість балів), в мене є повний конспект лекцій (включно з тією яку я пропустила) я отримала с. це було в 2015 році, патентознавство #фэл.",2019-03-22 11:36:46+02:00,-1
80,good kpi,адмика наконец-то вроде как решила проблему с ковалюк спустя.... минимум 5 лет с момента ее появления. удивительная скорость.,2019-06-14 14:33:51+03:00,0
81,bad kpi,"насчёт преподов, которые не реагируют на справки. за 3 года учебы, вообще не помню что бы для кого то это был аргумент. или человек не отмечает вообще, или минуса как стояли, так и будут стоять. это кпи)) #фэл",2019-03-22 11:51:29+02:00,-1
82,good kpi,выгрузил аудио из поста на облако,2019-06-14 15:11:38+03:00,0
83,bad kpi,"#фэл, не знаю, не знаю, всем кому я показывал справки за 5 лет, относились с пониманием и шли на встречу. конечно, возможно это ошибка выжившего, и возможно я просто не попал на тех преподавателей, но в целом на протяжении всего бакалавриата, я показывал справки почти всем тем или иным преподавателям которые  которые преподавали в течении всех курсов.
ps кафедра “електронної інженерії” она же  бывшая “фізичної і біомедичної електроніки”.",2019-03-22 12:17:59+02:00,1
84,good kpi,"#ипса
брайко наталья игнатьевна, спецгруппа фп
увидела пост про неё и решила тоже добавить. очень хороший преподаватель. временами строгий, но по делу и в меру. на первом курсе мальчик посоветовал мне ходить именно на ее пары, и, побывав на парах остальных преподавателей, я поняла почему он подсказал мне ходить на пары натальи игнатьевны. всегда совершенствуется и привносит что-то новое. очень понимающая и хорошая. каждое занятие проходит приятно и с юмором. рада, что эти два года впоследствии я проходила именно на её занятия. видно, что преподаватель любит свою работу и не поверхностно общается со студентами, а к каждому находит индивидуальный подход.",2019-06-15 15:25:56+03:00,1
85,bad kpi,"владимиров, который душу из тебя вынимал, если у тебя пропуск без хоть какой-нибудь справки или уважительной причины.
#тэф",2019-03-22 12:18:28+02:00,-1
86,good kpi,"прочитал что на защиту диплома надо принести какие-то плакаты. спросил у руководителя, он сказал что это устаревшая штука, что раньше когда на кафедре ещё рисовались чертежи они на эти плакаты выносились. дав понять что так уж есть посоветовал что на них вынести.

я пошёл к заместителю заведующего кафедры и спросил - а зачем эти плакаты если это устаревшая штука(в плане не соответствует положению дел на кафедре, чертежей давно нет) и все что я могу на них изобразить можно вставить в презентацию? 
он сначало ломался, говорил что плакаты нужны согласно положению в котором прописано как происходит защита, но потом согласился что можно без них. 

у нас проходит защита без плакатов.",2019-06-17 21:08:00+03:00,1
87,bad kpi,"для владимирова единственная уважительная причина - справка из морга, по его собственным словам. полный неадекват в этом плане. #тэф",2019-03-22 12:25:39+02:00,-1
88,good kpi,"#фивт
габинет артем викторович
организация компьютерных сетей

хочу высказать свое мнение по поводу этого предмета и преподавателя, которым я остался полностью доволен
артем викторович смог заинтересовать и вовлечь в этот предмет, прояснил «что такое интернет» и рассказал даже больше чем требуют на собеседовании от программиста.

1. методика преподавания

 - артем викторович объяснял все простыми словами и делал подводки к темам, в начале так вообще, сделал плавное вхождение в курс, за что ему спасибо.
 - каждую пару мы тратили время на  повторение материала прошлой лекции, что позволяло лучше усвоить материал и не забывать пройденное.
 - давал нам задачки на лекциях, на сообразительность и понимание того, как устроены сети, некоторые из них даже поощрялись.
 - позволял некоторым студентам выступать с докладами по отдельным подтемам, которые он предлагал или студенты могли взять сами, у нескольких моих коллег вышло объяснить сложное просто, что есть хорошим бонусом для студента лучше вникнуть в разные отрасли.
- ему можно было задавать вопросы по тому, как работают или устроены те или инные сетевые протоколы,  он отвечал и прояснял, даже если вопрос был глуповат или человек запутался в сути дела.
- он мог так же рассказать какие-то интересные вещи, немного отходя от темы предмета, например каким образом роскомнадзор банил телеграм и почему у них все обломалось 🙂

2. практика

- практика и лекции поочти шли вровень друг другу, но все же расинхронность была, это кое-какой недочет.
- лабы были интересные, 3 лабы были в симуляторе packet tracer, там было все довольно наглядно и можно было легко разобраться и увидеть как по сети ходят пакеты, вторые три лабы уже были прикладного уровня, они были действительно сложноваты да и принимающий их преподаватель любит сложноту, но в чем-то по своему интересны, но зато теперь многие студенты могут удаленно по ssh настроить сервер или сервис, что программисту скорее всего да пригодится.

3. пожелания

- из второстепенных тем, можно было бы рассказать про то, что такое ddos и как с ним борятся или про другие хаккерские атаки, но это скорее всего больше относится к кибербезопасности.
- идея с прикладными лабами (настройка витой пары) интересная и как уже говорили, можно попробовать ввести настройку рутера (не думаю что возраст оборудования сильно играет роль, можно это делать и на старом железе).",2019-06-18 15:49:10+03:00,1
89,bad kpi,"когда меня отчислили, я не могла забрати документы из-за того, что им нужны были ксерокопии. делать они их не хотели - так как уже конец рабочего дня (ещё 16 не было) и рассказывали, что куда я с такими балами пойду, никакой университет меня не возьмёт 🔥",2019-03-22 12:40:51+02:00,-1
90,good kpi,"#ипса 1 курс
подколзин г.б., преподает линейную алгебру и мат анализ.
наверное, лучший преподаватель на ипса. очень крутые лекции, с которыми не нужны никакие другие источники. каждая практика очень сильная, подбор задач идеальный, как и объяснения к ним. и если ты делаешь все домашки, то получаешь отличную базу. 
но самое главное – это отношение к каждому студенту. да, хороший бал заслужить сложно, но он видит, кто как работает. мало того, что проверяет каждую строчку в работах, так ещё и проверяет, исправили ли студенты все ошибки после их раздачи. ну и конечно, отношение к студентам максимально уважительное.
в общем, видно, что он сопереживает с каждым во время обучения этого сложного предмета.",2019-06-22 14:04:55+03:00,1
91,bad kpi,"абсолютно не согласен. сам не сталкивался, но одногрупник кучу пропусков закрыл купленной справкой. владимиров это понимал, но не спорил.",2019-03-22 13:16:50+02:00,0
92,good kpi,на поляне дед предлагает всем сыграть в шахматы) кто желает сыграть -- подходите),2019-06-24 10:02:06+03:00,1
93,bad kpi,"насчёт ""неадеквата""  владимирова. я учусь на 1 курсе, ведёт и лекции, и практику. так вот, со справками никогда проблем не было: пропустил, принёс справку, показал конспект пропущенных лекций и всё ок, причём всегда старается пойти на встречу, если человек много пропустил, то конспект можно показать позже. были случаи, когда человек отравился или что-то в этом роде (то есть, справку вряд-ли дадут), то  показываешь пропущенную лекцию/практику и всё ок. также, если очень надо, всегда без проблем можно отпроситься, опять же при условии наличия на следующую пару переписанной лекции/практики. так что я крайне несогласна с постами выше.
#тэф

p.s. по его словам, он принимает справки по болезни, из морга и из вытрезвителя",2019-03-22 13:19:11+02:00,1
94,good kpi,он там каждый день с 12 до 14,2019-06-24 10:05:57+03:00,1
95,bad kpi,"обычно в офисах, которые работают по такому принципу, посетителям выдают временные пропуски по документу. выходишь - отдаешь пропуск, забираешь документ. 

как вариант, может быть предусмотрена возможность отключения турникета охранником, если в назначенное время организатор мероприятия подходит и забирает/проводит группу. так обычно делают, если арендуют помещение под мероприятие.

это нормальная практика, но нужно сразу договориться с админкой по этому поводу, чтобы сделали нужный документ для охраны.",2019-03-22 15:08:14+02:00,0
96,good kpi,"#иее 2 курс
брайко наталья игнатьева, к посту выше о том что это требовательный преподаватель - согласен. я проучился 2 года и все это время посещал спец. группу. хотел сказать о том что вместе со всей строгостью и дисциплиной у брайко наталии всегда присутствовало чувство юмора, каждое посещение ее пары было для меня маленьким праздником. поэтому если вы не можете решить к какому преподавателю ходить - выбирайте брайко, и весело и полезно)",2019-06-26 16:03:20+03:00,1
97,bad kpi,"в реалиях кпи это будет выглядеть примерно так: идёшь в бюро пропусков в первом корпусе, подаешь заявление с визой киричка, департамента охраны и господа бога, ждёшь три дня, потом натыкаешься""ой у меня рабочий день уже кончился приходите на следующей неделе"", и наконец получаешь пропуск чтобы книжку в библиотеке почитать. 

насчёт ""договориться с админкой"": положения про работу турникетов и пропускной режим, я так понимаю, никто из студентов или хотя бы осс так и не увидел. но ""никого не пущать"" уже началось.",2019-03-22 15:55:03+02:00,-1
98,good kpi,вперед до змін!),2019-07-21 09:30:35+03:00,0
99,bad kpi,"""насчёт ""договориться с админкой"": положения про работу турникетов и пропускной режим, я так понимаю, никто из студентов или хотя бы осс так и не увидел. но ""никого не пущать"" уже началось.""

из личного опыта работы с бюджетными/бюрократическими структурами, самый быстрый путь - обсудить на осс, разработать документ (лучше с парочкой пунктов заведомо для вычеркивания админкой) и выйти с инициативой. 
в идеале, админка вычеркнет эти пару пунктов, добавит для вида парочку пунктов от себя, и примет, как собственное достижение. не нужно оспаривать потом, что это не они придумали, бюрократы любят присваивать чужой труд))). главное, получить результат.",2019-03-22 16:56:57+02:00,0
100,good kpi,"#тэф #апепс
обзор на специальность компьютерные науки на кафедре апепс за 3 курса.
возможно абитуриенты найдут тут много полезного для себя. 
1курс 1 семестр
основная дисциплина вышмат, на который идёт по несколько пар по несколько раз в неделю, чуть ли не каждый день. в зависимости от преподавателя может быть лёгким или превратится в ад. ерёмина или владимиров очень требовательны, особенно последний, который отчисляет пачками. помимо вышмата у вас будут основы программирования и дискретная математика - ведёт - кублий , поначалу она не слишком нам нравилась, но спустя год мы поняли что это один из лучших преподавателей. да у нее часто бывают странные и неадекваты требования и многие на первом курсе не понимали ещё зачем нужно правильно оформлять код и писать комментарии ( а это действительно очень важно), и бомбили из за этого. 
компьютерная схемотехника - ведёт мирош, очень крутой мужик, так как предмет очень сложный, но он нас не трогал и зачастую разрешал не ходить, все без проблем закрыли. правда сейчас слышно что он вышел из запоя и стал требовательным, хз. 
1 курс 2 семестр
тут уже все похардовее - появляется предмет операционные системы во главе с левченко ( по факту это ассемблер tasm в эмуляторе dos, предмет очень сложный для сдачи нужно сдать все лабы, которые сдать очень сложно, но уже на допке попроще). 
так же у вас будет вести прогу шалденко - один из лучших преподавателей на мой взгляд, который действительно шарит свой предмет, круто объясняет, даёт интересные задачки и требует. 
также у вас скорее всего будут бд и вести их будет дацюк - замечательный препод, с которой можно даже за жизнь поговорить с чайком. она практически не требует, так что вы можете сдать предмет так ничего и не выучив, но я очень советую учить и ходить на лекции так как без бд никуда. 
вышмат естественно никуда не девается и стает все более хардовым - набирайтесь сил, терпеть придется ещё два семестра. 
2 курс ( по семестрам не помню уже )
на 3 семестре очень многие вылетали из вуза, так как помимо самого сложного вышмата за все время ( дифф уравнения, криволинейные интегралы и пр, по сравнению с которыми дельта околы всякие не кажутся уже такими страшными ) у вас ещё будет теория вероятности ( сидоренко ) и ооп ( карпенко).
теория вероятности на самом деле очень интересный предмет и сидора ведёт его на 10/10. это наверное один из немногих преподавателей лекции которого не хочется прогулять , так как они очень интересные и отпускают как правило раньше и ещё домашку дают редко. у сидоренко есть своя система оценивая, о которой она вам расскажет. советую отнестись максимально серьезно, так как ни на какие компромиссы, если вы не сдали не пойдет.  но для того что бы сдать предмет нужно всего лишь ходить на лекции и слушать что она говорит. из за того что многие не поняли этого - были отчислены. 
карпенко же требователен столько и невероятно скучен. на лекции он вам будет просто монотонно и неразборчиво читать с учебника, давать скучнейшие задачи и не принимать ваши лабы за что в последствии может и выгнать. ооп обязательно нужно усвоить самостоятельно, так как он вас не научит ничему. так же у вас будет ещё один семестр бд и скорее уже поставят другого преподавателя - сегеду. тоже очень веселая и не скучная, закрывает без особых проблем, хотя будет вас пугать по началу отчислением. 
также у вас будет предмет под названием компьютерная графика. не ведитесь! никакого photoshop, corel , 3dmax или всяких там спрайтов. вы будете чертить болты и гайки от руки. и преподаватели вам скажут что на самом деле у вас будет не комп графика, а инженерная. так как ненавижу черчение сдать мне было его очень сложно. но объясняют неплохо и действительно хотят научить, проблема только что программистам не нужно черчение.",2019-07-27 12:12:19+03:00,1
